CGATS.17
FORMAT_VERSION	2
MEASUREMENT_SOURCE	Simulated sRGB data
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z
END_DATA_FORMAT
NUMBER_OF_SETS	602
BEGIN_DATA
1	0	0	0	0.000000	0.000000	0.000000
2	0	0	25	0.175449	0.070180	0.924033
3	0	0	51	0.597477	0.238991	3.146715
4	0	0	76	1.304368	0.521747	6.869672
5	0	0	102	2.398018	0.959207	12.629561
6	0	0	127	3.830357	1.532143	20.173216
7	0	0	153	5.749157	2.299663	30.278895
8	0	0	178	8.035026	3.214011	42.317805
9	0	0	204	10.897923	4.359169	57.395730
10	0	0	229	14.141352	5.656541	74.477786
11	0	0	255	18.048079	7.219232	95.053215
12	0	25	0	0.347616	0.695231	0.115872
13	0	25	25	0.523065	0.765411	1.039905
14	0	25	51	0.945093	0.934222	3.262586
15	0	25	76	1.651984	1.216978	6.985544
16	0	25	102	2.745633	1.654438	12.745433
17	0	25	127	4.177973	2.227374	20.289088
18	0	25	153	6.096773	2.994894	30.394767
19	0	25	178	8.382642	3.909242	42.433677
20	0	25	204	11.245539	5.054400	57.511602
21	0	25	229	14.488967	6.351772	74.593658
22	0	25	255	18.395694	7.914463	95.169087
23	0	51	0	1.183775	2.367549	0.394592
24	0	51	25	1.359224	2.437729	1.318624
25	0	51	51	1.781252	2.606540	3.541306
26	0	51	76	2.488143	2.889296	7.264263
27	0	51	102	3.581793	3.326756	13.024153
28	0	51	127	5.014132	3.899692	20.567807
29	0	51	153	6.932932	4.667212	30.673487
30	0	51	178	9.218801	5.581560	42.712396
31	0	51	204	12.081698	6.726719	57.790322
32	0	51	229	15.325126	8.024090	74.872378
33	0	51	255	19.231853	9.586781	95.447807
34	0	76	0	2.584328	5.168656	0.861443
35	0	76	25	2.759777	5.238836	1.785476
36	0	76	51	3.181806	5.407647	4.008157
37	0	76	76	3.888696	5.690404	7.731115
38	0	76	102	4.982346	6.127864	13.491004
39	0	76	127	6.414686	6.700799	21.034659
40	0	76	153	8.333486	7.468319	31.140338
41	0	76	178	10.619354	8.382667	43.179248
42	0	76	204	13.482252	9.527826	58.257173
43	0	76	229	16.725680	10.825197	75.339229
44	0	76	255	20.632407	12.387888	95.914658
45	0	102	0	4.751163	9.502326	1.583721
46	0	102	25	4.926612	9.572506	2.507754
47	0	102	51	5.348641	9.741317	4.730436
48	0	102	76	6.055531	10.024073	8.453393
49	0	102	102	7.149181	10.461533	14.213282
50	0	102	127	8.581521	11.034469	21.756937
51	0	102	153	10.500320	11.801989	31.862616
52	0	102	178	12.786189	12.716337	43.901526
53	0	102	204	15.649087	13.861496	58.979451
54	0	102	229	18.892515	15.158867	76.061507
55	0	102	255	22.799242	16.721558	96.636936
56	0	127	0	7.589040	15.178079	2.529680
57	0	127	25	7.764489	15.248259	3.453713
58	0	127	51	8.186517	15.417070	5.676394
59	0	127	76	8.893408	15.699826	9.399352
60	0	127	102	9.987057	16.137286	15.159241
