CGATS.17
FORMAT_VERSION	2
CREATED	2017-10-17 15:05:08 UTC+9
PRODUCT	MOBILE PHONE
DISPLAY_TYPE	RGBW LCD
INSTRUMENT	Konica-Minolta	CA-410		
SYNC_MODE	INT	60 Hz
MEASUREMENT_SPEED	FAST
AVERAGING_TIMES	5
AMBIENT_TEMPERATURE	24
KEYWORD	SampleID
NUMBER_OF_FIELDS	7
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z
END_DATA_FORMAT
NUMBER_OF_SETS	602
BEGIN_DATA
1	0	0	0	0.747	0.724	1.639
2	0	0	25	1.393	0.970	5.157
3	0	0	51	4.645	2.193	22.859
4	0	0	76	10.644	4.473	55.300
5	0	0	102	20.531	8.307	107.751
6	0	0	127	32.745	13.080	172.913
7	0	0	153	47.352	18.860	249.474
8	0	0	178	58.047	22.989	305.290
9	0	0	204	59.171	24.078	306.042
10	0	0	229	60.236	25.094	306.742
11	0	0	255	61.278	26.196	307.456
12	0	25	0	1.440	2.477	1.849
13	0	25	25	2.664	3.467	7.266
14	0	25	51	6.703	5.975	26.913
15	0	25	76	13.563	9.333	62.419
16	0	25	102	24.213	14.195	117.611
17	0	25	127	35.691	19.511	177.081
18	0	25	153	51.982	26.993	260.400
19	0	25	178	61.179	31.399	306.352
20	0	25	204	62.855	34.088	307.545
21	0	25	229	63.916	35.854	308.251
22	0	25	255	66.214	38.448	310.260
23	0	51	0	5.557	12.920	3.113
24	0	51	25	7.596	15.519	9.864
25	0	51	51	12.139	18.866	30.722
26	0	51	76	19.505	23.560	66.292
27	0	51	102	31.201	30.598	123.672
28	0	51	127	44.304	37.332	190.421
29	0	51	153	60.377	46.296	269.727
30	0	51	178	68.747	51.684	308.139
31	0	51	204	70.261	54.036	309.200
32	0	51	229	71.828	56.798	310.175
33	0	51	255	74.012	61.123	311.334
34	0	76	0	12.826	31.353	5.404
35	0	76	25	16.152	36.385	14.530
36	0	76	51	21.427	41.030	36.941
37	0	76	76	30.021	47.471	76.151
38	0	76	102	40.454	53.961	126.888
39	0	76	127	55.849	63.174	202.454
40	0	76	153	71.224	71.560	279.362
41	0	76	178	78.960	78.280	310.903
42	0	76	204	80.306	80.688	311.723
43	0	76	229	82.403	84.945	312.773
44	0	76	255	84.199	88.248	313.882
45	0	102	0	24.221	60.237	9.034
46	0	102	25	27.793	65.460	19.266
47	0	102	51	34.448	72.337	45.135
48	0	102	76	44.838	82.224	87.563
49	0	102	102	55.936	89.970	139.535
50	0	102	127	71.153	100.005	212.083
51	0	102	153	88.798	110.035	299.541
52	0	102	178	93.633	116.004	315.152
53	0	102	204	95.385	120.103	315.800
54	0	102	229	98.147	126.271	317.011
55	0	102	255	100.288	131.084	317.904
56	0	127	0	40.376	101.138	14.420
57	0	127	25	44.221	106.610	25.816
58	0	127	51	51.330	114.083	53.182
59	0	127	76	59.904	120.166	93.141
60	0	127	102	72.587	128.725	153.259
61	0	127	127	87.038	137.780	223.282
