CGATS.17
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z
END_DATA_FORMAT
NUMBER_OF_SETS 602
BEGIN_DATA
1	0	0	0	0	0	0
2	0	0	25	0.0017545	0.0007018	0.0092403
3	0	0	51	0.0059748	0.0023899	0.0314671
4	0	0	76	0.0130437	0.0052175	0.0686967
5	0	0	102	0.0239802	0.0095921	0.1262956
6	0	0	127	0.0383036	0.0153214	0.2017322
7	0	0	153	0.0574916	0.0229966	0.302789
8	0	0	178	0.0803503	0.0321401	0.423178
9	0	0	204	0.1089792	0.0435917	0.5739573
10	0	0	229	0.1414135	0.0565654	0.7447779
11	0	0	255	0.1804808	0.0721923	0.9505322
12	0	25	0	0.0034762	0.0069523	0.0011587
13	0	25	25	0.0052306	0.0076541	0.010399
14	0	25	51	0.0094509	0.0093422	0.0326259
15	0	25	76	0.0165198	0.0121698	0.0698554
16	0	25	102	0.0274563	0.0165444	0.1274543
17	0	25	127	0.0417797	0.0222737	0.2028909
18	0	25	153	0.0609677	0.0299489	0.3039477
19	0	25	178	0.0838264	0.0390924	0.4243368
20	0	25	204	0.1124554	0.050544	0.575116
21	0	25	229	0.1448897	0.0635177	0.7459366
22	0	25	255	0.1839569	0.0791446	0.9516909
23	0	51	0	0.0118377	0.0236755	0.0039459
24	0	51	25	0.0135922	0.0243773	0.0131862
25	0	51	51	0.0178125	0.0260654	0.0354131
26	0	51	76	0.0248814	0.028893	0.0726426
27	0	51	102	0.0358179	0.0332676	0.1302415
28	0	51	127	0.0501413	0.0389969	0.2056781
29	0	51	153	0.0693293	0.0466721	0.3067349
30	0	51	178	0.092188	0.0558156	0.427124
31	0	51	204	0.120817	0.0672672	0.5779032
32	0	51	229	0.1532513	0.0802409	0.7487238
33	0	51	255	0.1923185	0.0958678	0.9544781
34	0	76	0	0.0258433	0.0516866	0.0086144
35	0	76	25	0.0275978	0.0523884	0.0178548
36	0	76	51	0.0318181	0.0540765	0.0400816
37	0	76	76	0.038887	0.056904	0.0773111
38	0	76	102	0.0498235	0.0612786	0.13491
39	0	76	127	0.0641469	0.067008	0.2103466
40	0	76	153	0.0833349	0.0746832	0.3114034
41	0	76	178	0.1061935	0.0838267	0.4317925
42	0	76	204	0.1348225	0.0952783	0.5825717
43	0	76	229	0.1672568	0.108252	0.7533923
44	0	76	255	0.2063241	0.1238789	0.9591466
45	0	102	0	0.0475116	0.0950233	0.0158372
46	0	102	25	0.0492661	0.0957251	0.0250775
47	0	102	51	0.0534864	0.0974132	0.0473044
48	0	102	76	0.0605553	0.1002407	0.0845339
49	0	102	102	0.0714918	0.1046153	0.1421328
50	0	102	127	0.0858152	0.1103447	0.2175694
51	0	102	153	0.1050032	0.1180199	0.3186262
52	0	102	178	0.1278619	0.1271634	0.4390153
53	0	102	204	0.1564909	0.138615	0.5897945
54	0	102	229	0.1889251	0.1515887	0.7606151
55	0	102	255	0.2279924	0.1672156	0.9663694
